timestamp,activeOrders, sells,buys, digest
Sun Feb 15 08:05:34 UTC 2015 , 4 , 2 , 2 , 102761536 : { BUY 2781.87@0.00386529} 102761591 : { BUY 2780.96@0.00386529} 102760719 : { SELL 8400.32@0.00390023} 102760768 : { SELL 8400.32@0.00390023} 
Sun Feb 15 08:14:37 UTC 2015 , 4 , 2 , 2 , 102764688 : { BUY 2781.0@0.00386649} 102764747 : { BUY 2780.1@0.00386649} 102765503 : { SELL 8400.32@0.00390144} 102765542 : { SELL 8400.32@0.00390144} 
Sun Feb 15 08:26:40 UTC 2015 , 4 , 2 , 2 , 102769840 : { BUY 2786.4@0.003859} 102769880 : { BUY 2785.5@0.003859} 102769050 : { SELL 8400.32@0.00389388} 102769097 : { SELL 8400.32@0.00389388} 
Sun Feb 15 08:35:44 UTC 2015 , 4 , 2 , 2 , 102772046 : { BUY 2795.26@0.00384677} 102772093 : { BUY 2794.35@0.00384677} 102772918 : { SELL 8400.32@0.00388154} 102772960 : { SELL 8400.32@0.00388154} 
Sun Feb 15 08:41:46 UTC 2015 , 4 , 2 , 2 , 102773825 : { BUY 2802.6@0.00383669} 102773874 : { BUY 2801.7@0.00383669} 102774773 : { SELL 8400.32@0.00387137} 102774835 : { SELL 8400.32@0.00387137} 
Sun Feb 15 08:47:48 UTC 2015 , 4 , 2 , 2 , 102777616 : { BUY 2798.18@0.00384276} 102777724 : { BUY 2797.27@0.00384276} 102776624 : { SELL 8400.32@0.0038775} 102776675 : { SELL 8400.32@0.0038775} 
Sun Feb 15 08:56:51 UTC 2015 , 4 , 2 , 2 , 102780957 : { BUY 2793.64@0.003849} 102781029 : { BUY 2792.73@0.003849} 102780017 : { SELL 8400.32@0.0038838} 102780087 : { SELL 8400.32@0.0038838} 
Sun Feb 15 09:02:53 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.96@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:06:03 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:08:55 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
